Vardas367           Pavarde367  1  4  1  5  1  4  5  2  2  1  6  3  1  3  4  1 ; final points 1.75
Vardas1332         Pavarde1332  6  4  1  5  1  2  5  1  5  1  5  4  5  3  1  1 ; final points 1.91
Vardas2919         Pavarde2919  4  1  6  2  4  4  6  1  1  6  2  3  7  1  2  1 ; final points 1.93
Vardas4368         Pavarde4368  6 10  3  4  3  1  1  6  3  2  5  1  4  1  1  1 ; final points 1.96
Vardas7566         Pavarde7566 10  1  1  6  3  1  1  4 10  3  2  2  5  1  1  1 ; final points 1.96
Vardas9264         Pavarde9264  6  3  1  3  4  5  1  4  2  2  5  1  5  7  5  1 ; final points 2.04
Vardas4088         Pavarde4088  3  5  7  6 10  1  2  5  2  1  2  4  1  3  2  1 ; final points 2.04
Vardas4020         Pavarde4020  4  1  6  1  5  9  2  1  1  2  4  2  1 10  6  1 ; final points 2.07
Vardas904           Pavarde904  4 10  1  1  4  9  3  1  1  5  4  2  6  3  2  1 ; final points 2.09
Vardas7629         Pavarde7629  3  3  1  3  3  2 10  3  4  9  1  4  2  4  4  1 ; final points 2.09
Vardas4679         Pavarde4679  5  5  2  2  2  1  6  6  2  3  5  7  2  5  3  1 ; final points 2.09
Vardas49             Pavarde49  3  5  9  2  4  6  4  3  1  4  3  4  5  3  1  1 ; final points 2.12
Vardas4140         Pavarde4140  1  5  4  4  3  9  2  1  6  1  5  1  8  2  5  1 ; final points 2.12
Vardas343           Pavarde343  3  2  1  4  8  5 10  2  5  2  3  4  1  1  7  1 ; final points 2.15
Vardas40             Pavarde40  8  1  2  4  5  2  2  9  6  1  4  1  4  5  4  1 ; final points 2.15
Vardas9631         Pavarde9631  2  2  9  8  5  1  5  3  1  3  7  3  1  5  3  1 ; final points 2.15
Vardas2084         Pavarde2084  2  3  2  4  1  7  1  2  9  6  5  2  6  2  7  1 ; final points 2.17
Vardas3322         Pavarde3322  2  2  1  2  2 10  5 10  4  5  1  3  7  3  2  1 ; final points 2.17
Vardas707           Pavarde707  1  7  6  2  6  3  6  1  3  1  8  5  7  1  2  1 ; final points 2.17
Vardas8678         Pavarde8678  6  5  7  3  1  1  5  5  3  2  1  6  5  7  2  1 ; final points 2.17
Vardas8254         Pavarde8254  1 10  3  1  1  2  2  8  4  9  6  4  2  2  4  1 ; final points 2.17
Vardas4472         Pavarde4472  6  4  2  3  1  6  2  8  1  8  1  8  2  4  3  1 ; final points 2.17
Vardas5934         Pavarde5934  4  2  1  2  3  7 10  4  1  2  7  5  7  3  1  1 ; final points 2.17
Vardas8729         Pavarde8729  2  1  1  8  3  6 10  2  4  1  5  3  2  3  8  1 ; final points 2.17
Vardas1925         Pavarde1925  2  1  4 10  2  1  2  5  4  9  1  9  1  6  3  1 ; final points 2.20
Vardas6817         Pavarde6817  1  7  2  3  4  6  5  2  4  8  1  1  8  3  5  1 ; final points 2.20
Vardas1759         Pavarde1759  3  1  3  1  2  6  1 10  7  6  1  8  6  3  2  1 ; final points 2.20
Vardas3867         Pavarde3867  1  1  8  2  4  2  1  6  5  5  8  4  3  9  1  1 ; final points 2.20
Vardas9193         Pavarde9193  8  1  3  5  3  1  5  4  3  1  3 10  3 10  1  1 ; final points 2.23
Vardas9183         Pavarde9183  3  4  2  8  4  7  6  1  1  2  2 10  4  3  4  1 ; final points 2.23
Vardas4835         Pavarde4835  4  8  3  6  4  3  3  1  5  8  4  6  4  1  1  1 ; final points 2.23
Vardas3368         Pavarde3368  7  1  1  1  6  7  1  4  7  3  2  8  3  6  4  1 ; final points 2.23
Vardas7906         Pavarde7906  1  6  9  2  4  3  3  2 10  1  2  2  4 10  3  1 ; final points 2.25
Vardas5999         Pavarde5999 10  2  1 10  1  8  5  1  2  7  2  1  1  2  9  1 ; final points 2.25
Vardas2893         Pavarde2893  4  1  1  6  8  3  4  6  6  1  1  2  5  9  5  1 ; final points 2.25
Vardas5988         Pavarde5988  7 10  1  2  6  5  5  2  2  1 10  1  2  4  5  1 ; final points 2.28
Vardas3737         Pavarde3737  5  3  9  3  1  1  1  3  1  1  1 10  4 10 10  1 ; final points 2.28
Vardas6816         Pavarde6816  3 10  9  2  2  3  3  2  7  2  3  3  7  2  5  1 ; final points 2.28
Vardas5983         Pavarde5983  5 10  1  7  6  2  1  1  6  4  2  5  4  1  8  1 ; final points 2.28
Vardas4859         Pavarde4859  8  3  5  4  1  1  6  4 10  4  2  2  1  4  8  1 ; final points 2.28
Vardas5266         Pavarde5266  1  6  1  9  5  2  4  3  1  4  7  4  5  7  4  1 ; final points 2.28
Vardas9606         Pavarde9606  8 10  3  2  5  1  6  5  7  2  4  5  2  2  1  1 ; final points 2.28
Vardas7444         Pavarde7444  3  5  6  2  1  2  3  2  7  7  1  5  9  2  8  1 ; final points 2.28
Vardas815           Pavarde815  7  1 10  4  3  1  4  2  7  2  3  2  8  5  4  1 ; final points 2.28
Vardas537           Pavarde537  2  2  4  5  1  4  4  6  7  8  2  7  1 10  1  1 ; final points 2.31
Vardas132           Pavarde132  6  5  5  9  3  9  4  3  1  2  6  2  3  2  4  1 ; final points 2.31
Vardas9299         Pavarde9299 10 10  2  2  1  6  4  3  1  1  6  8  4  3  3  1 ; final points 2.31
Vardas3626         Pavarde3626  1  7  7  4  3  7  4  8  1  8  2  1  5  1  5  1 ; final points 2.31
Vardas9695         Pavarde9695  4  2  2 10  6  6  1 10  2  2  2  5  4  7  1  1 ; final points 2.31
Vardas5603         Pavarde5603  1  3  3  7 10  4  7  8  3  4  1  5  1  2  5  1 ; final points 2.31
Vardas914           Pavarde914  8  2  5  7  3  8  2  8  1  3  6  3  5  2  1  1 ; final points 2.31
Vardas7349         Pavarde7349  1  7  1  2  7  2  2  4  2 10  2  7  6  8  3  1 ; final points 2.31
Vardas5679         Pavarde5679  9  4  4  4  1  1  8  4  6  4  1  1  8  8  1  1 ; final points 2.31
Vardas1089         Pavarde1089  4 10  1  4  6  8  3  3  2  2  4  5  4  5  3  1 ; final points 2.31
Vardas7554         Pavarde7554  6  7  2  3  5  3  3  7  1  5 10  3  1  3  5  1 ; final points 2.31
Vardas8983         Pavarde8983  3  2  8 10  8  4  1  6  1  3  8  2  4  3  1  1 ; final points 2.31
Vardas3767         Pavarde3767  3  2  3  7  5  1  2  9  3  3  6  8  5  3  5  1 ; final points 2.33
Vardas111           Pavarde111  3  3  2  3  5  2  5  1  7  5  6  9  5  2  7  1 ; final points 2.33
Vardas5329         Pavarde5329  4  4  6  1  2  8  1 10  1  3  4  8  5  1  7  1 ; final points 2.33
Vardas6617         Pavarde6617  7  3  2  2  2  9  2  1  1  8  4  9  9  2  4  1 ; final points 2.33
Vardas5878         Pavarde5878  1  4  6  1  3  1  1  3  7  6  6 10  5  3  8  1 ; final points 2.33
Vardas6639         Pavarde6639  3  4  4  7  6  5  3  5  7  3  3  7  3  4  1  1 ; final points 2.33
Vardas4882         Pavarde4882  2  7  7  1  2  5  7  4  4  5  2  2  4  7  7  1 ; final points 2.36
Vardas6180         Pavarde6180  2  1  6  8  9 10  5  1  4  5  4  1  4  1  5  1 ; final points 2.36
Vardas9046         Pavarde9046  1  1  5  7  1  4  6  6  3 10  1  7  1  7  6  1 ; final points 2.36
Vardas2650         Pavarde2650  9  5  2  3  5  3  5  3  1  5  7  3  1  8  6  1 ; final points 2.36
Vardas4243         Pavarde4243  1  9  7  2  1  8  6  4  5  2  5  7  1  7  1  1 ; final points 2.36
Vardas379           Pavarde379  3  4  9  1  5  6  1  2  7 10  3  6  4  1  4  1 ; final points 2.36
Vardas1076         Pavarde1076  3  4  4  5 10  4  2  3  3  4  4  5  6  3  6  1 ; final points 2.36
Vardas5115         Pavarde5115  5  7  2  5  1  2  4  5  9  3  3  5  5  5  5  1 ; final points 2.36
Vardas8952         Pavarde8952  5  3  2  1  6  3  7  5  5  2 10  2  3  2 10  1 ; final points 2.36
Vardas6807         Pavarde6807  9  7  2  1 10  3  1  4  1  3  8  2  7  5  3  1 ; final points 2.36
Vardas9494         Pavarde9494  1  3  5  5  2  8  3  3 10  5  5  3  2  6  5  1 ; final points 2.36
