Vardas5459         Pavarde5459  2  2  5  5  8  4  9  4  6  1  1  7 10  6  5  5 ; final points 5.00
Vardas9411         Pavarde9411  3  3  9  4 10  6  1  8  1  7  4  5  7  4  3  5 ; final points 5.00
Vardas7466         Pavarde7466  7  1  6  5 10  5  1  1 10  2  9 10  4  1  3  5 ; final points 5.00
Vardas1684         Pavarde1684  2  3  7  7  4  2  6  5 10  4  3  6  6  7  3  5 ; final points 5.00
Vardas6145         Pavarde6145  6  7  4  6  2  7  3  3  6  3  1  4  8  7  8  5 ; final points 5.00
Vardas3177         Pavarde3177  6  5  4  1  1  1 10  1  9  8  3 10  7  3  6  5 ; final points 5.00
Vardas6273         Pavarde6273  3  5  6  8  1  3  3  8  2  9  7  3  2  8  7  5 ; final points 5.00
Vardas192           Pavarde192  6  9  2  9  1 10  1  6  3  2  4  8  3  2  9  5 ; final points 5.00
Vardas9266         Pavarde9266  9 10  5  3  5  7  2  1  8  5  5  5  2  3  5  5 ; final points 5.00
Vardas4867         Pavarde4867  3  5  3  1  5  3  3  9  2  7  9  9 10  1  5  5 ; final points 5.00
Vardas4760         Pavarde4760  6  8  9  3  9  7  6  2  3  2  6  6  1  4  3  5 ; final points 5.00
Vardas8966         Pavarde8966  6  7  3  8  8  5  3  2  9  4  1  4  6  6  3  5 ; final points 5.00
Vardas2024         Pavarde2024  6 10  4  1  3 10  8  3  4  3  4  6  5  6  2  5 ; final points 5.00
Vardas8499         Pavarde8499  9  6  4 10  7  1  3  2  1  2  2 10  7  1 10  5 ; final points 5.00
Vardas2085         Pavarde2085  2  8  9  1  2  7  2  1  1 10 10  7  6  2  7  5 ; final points 5.00
Vardas2904         Pavarde2904  6  7  6 10  8  3  6  2  1  3  3  8  9  1  2  5 ; final points 5.00
Vardas911           Pavarde911  7 10  3  1  3  5  1  2  8  3  8  6  2  6 10  5 ; final points 5.00
Vardas7612         Pavarde7612  1  2 10  4  5  8  3  4  8  2  6  2  8  7  5  5 ; final points 5.00
Vardas7057         Pavarde7057  7 10  8  3  1  8  5  4  2  5  9  1  2  4  6  5 ; final points 5.00
Vardas9190         Pavarde9190  6  2 10  1  4 10  4  4  5  3  8  9  7  1  1  5 ; final points 5.00
Vardas3159         Pavarde3159 10  1  6  7  6  6  2  2 10 10  2  2  5  4  2  5 ; final points 5.00
Vardas4491         Pavarde4491  1  3  9  3  2  7  2  6  8  4  4  8  7  6  5  5 ; final points 5.00
Vardas7219         Pavarde7219  8  3 10  3  9  1  3  5  7  4  7  1  2  9  3  5 ; final points 5.00
Vardas6352         Pavarde6352  3  8  9  7  3  3  8  9  5  6  6  9  9  9  4  4 ; final points 5.01
Vardas3829         Pavarde3829  1 10  7  8  3  6  8  1  5  7  9 10 10  7  6  4 ; final points 5.01
Vardas6116         Pavarde6116  5  8  8  5  2  9  7  3  9 10 10  8  3  3  8  4 ; final points 5.01
Vardas72             Pavarde72 10  7  4  7  3  9 10  1  9  6  8  9  1  5  9  4 ; final points 5.01
Vardas7998         Pavarde7998  8  9  2  6  8  9  3  8  7  8  6 10  4  4  6  4 ; final points 5.01
Vardas8951         Pavarde8951  7  9  8  8  7  2  8 10  4  4  7  5  3  9  7  4 ; final points 5.01
Vardas6262         Pavarde6262 10 10  9  7  3  9 10  1  8  8  4  5  3  2  9  4 ; final points 5.01
Vardas2313         Pavarde2313  7 10  6  7  5  5  3  7 10  7  5  5  3  8 10  4 ; final points 5.01
Vardas3608         Pavarde3608  5  4 10  8  6  3 10  8  6  7  9  6  5  5  6  4 ; final points 5.01
Vardas941           Pavarde941  3  1  3  7  5  6  8  3  1  2  2  3  3  3  3  6 ; final points 5.01
Vardas156           Pavarde156  2  3  6  6  5  2 10  8  9  8  8  3  9  9 10  4 ; final points 5.01
Vardas5405         Pavarde5405  6  5 10 10  8  5  2  7  8  3  9  7  3  6  9  4 ; final points 5.01
Vardas2015         Pavarde2015 10  8  1  1  9  7  1  8  6  8  5  5 10 10  9  4 ; final points 5.01
Vardas8691         Pavarde8691  8  3  6  6  8  7  2  4  1  2  1  7  7  9  5  5 ; final points 5.03
Vardas358           Pavarde358  3  2  7  1  4  3  3  6  3  8  8  1  7 10 10  5 ; final points 5.03
Vardas4180         Pavarde4180 10  1 10  5  8  1  4  1  7  4  6  2  7  5  5  5 ; final points 5.03
Vardas9294         Pavarde9294  2  3  7  3  6  3  3  5  5  5 10 10  6  7  1  5 ; final points 5.03
Vardas1415         Pavarde1415  4 10  7  2  3  1  3  7  8  2  2  5  9  8  5  5 ; final points 5.03
Vardas9440         Pavarde9440  1  6  8  8  1  3  8  3  1  6  6  8  3  4 10  5 ; final points 5.03
Vardas9746         Pavarde9746  1  6  9  3  9  6  2  8  2  6  8  7  6  2  1  5 ; final points 5.03
Vardas7431         Pavarde7431  1  9  6  6  3  4  1  9 10  6  2  3 10  2  4  5 ; final points 5.03
Vardas56             Pavarde56  6  8  7  1  7  7  3  9  2  7  5  2  6  2  4  5 ; final points 5.03
Vardas5779         Pavarde5779  2  6  5  3  8  1 10  5  5  3  4  8  8  4  4  5 ; final points 5.03
Vardas2492         Pavarde2492  3  7  7  8  4  7  3  4  6 10  5  1  1  8  2  5 ; final points 5.03
Vardas2780         Pavarde2780 10  3  3  5  1  9  8  5  5  7  1  9  4  4  2  5 ; final points 5.03
Vardas3644         Pavarde3644  1  6  5  7 10  1  2  5  4  8  7  1  4  8  7  5 ; final points 5.03
Vardas8717         Pavarde8717  1  3  3  4  8  3  4  8 10  7  6  2  5  6  6  5 ; final points 5.03
Vardas1654         Pavarde1654  9  2  2  3  4 10  6  3  5 10  2  7  5  2  6  5 ; final points 5.03
Vardas9119         Pavarde9119  5 10  1  1  3  5  5  4  5  6  5  5  6  5 10  5 ; final points 5.03
Vardas9609         Pavarde9609  9 10  6  1  1  3  5  3  6  9  3  3  5 10  2  5 ; final points 5.03
Vardas1372         Pavarde1372  4  2  2  4  6  4  8  8  2  6  9  9  5  4  3  5 ; final points 5.03
Vardas8589         Pavarde8589  1  2 10  2  9 10  1  8  1  8  5  4  4  9  2  5 ; final points 5.03
Vardas6199         Pavarde6199  2  6  3  8 10  3  7  6  5  4  8  6  2  5  1  5 ; final points 5.03
Vardas3713         Pavarde3713  1  6  9  4  7  3  2  2  9  9  5  7  2  4  6  5 ; final points 5.03
Vardas6717         Pavarde6717  4  2  5  4  8  8  1  2 10  2  6  5  5  7  7  5 ; final points 5.03
Vardas5798         Pavarde5798  5  3 10  1  3 10  2  7  2 10  5  7  2  4  5  5 ; final points 5.03
Vardas3904         Pavarde3904  1  2  8 10  5  3  3  8  6  6  3  5  1  8  7  5 ; final points 5.03
Vardas5285         Pavarde5285  2  8  2  5  8  8  9  2  1 10  1  6  7  5  2  5 ; final points 5.03
Vardas9883         Pavarde9883  2  5  3  6  6  6 10  9  1  5 10  1  7  3  2  5 ; final points 5.03
Vardas8763         Pavarde8763  1  7  2  8  6  5  8  2  6  7  6  7  4  5  2  5 ; final points 5.03
Vardas9394         Pavarde9394  5  1  1  6  2 10  2  5  4 10  2  6  4  8 10  5 ; final points 5.03
Vardas6591         Pavarde6591  4  6  7 10  3  1  3  1  8  5  3 10 10  3  2  5 ; final points 5.03
Vardas7840         Pavarde7840  2  5  7  2  6  7  9 10  6 10  7 10  9  5  4  4 ; final points 5.04
Vardas2527         Pavarde2527  7  8  9  9  7 10  6  8  8  8  3  6  5  2  3  4 ; final points 5.04
Vardas7448         Pavarde7448  1 10  7 10  9  3  4  6  8  7 10  4  1 10  9  4 ; final points 5.04
Vardas79             Pavarde79  1  4  2  1  3  2  3  2  2  3  1  9 10  2  9  6 ; final points 5.04
Vardas5316         Pavarde5316  3  7  9 10  4  5  2  4  6 10  3 10  8 10  8  4 ; final points 5.04
Vardas5908         Pavarde5908  2  8  4 10  2  5  4  9  8  8  9  8  9 10  3  4 ; final points 5.04
Vardas2619         Pavarde2619  8 10  2 10  6  8  6  9  5 10  4  7  2  8  4  4 ; final points 5.04
Vardas1881         Pavarde1881  3  7  2 10  8  2 10  9  7 10  8  9  5  1  8  4 ; final points 5.04
Vardas4218         Pavarde4218  5  4 10  5  4  1  8  1  6  9 10  9 10 10  7  4 ; final points 5.04
